issue	box_id	verdict	report_line	report_box_text	live_line_no	live_state_at_2026_08_14_mapping_proof	live_box_text	match
15	#15-01	PROVEN	17	เปิด `/tool/wheel/` บนเครื่องที่ไม่เคยเข้าเว็บ ใส่ชื่ออย่างน้อย 2 ชื่อ กดหมุน แล้วได้ผลเป็นหนึ่งชื่อที่อยู่ในรายการที่ใส่ไว้	19	unticked	เปิด `/tool/wheel/` บนเครื่องที่ไม่เคยเข้าเว็บ ใส่ชื่ออย่างน้อย 2 ชื่อ กดหมุน แล้วได้ผลเป็นหนึ่งชื่อที่อยู่ในรายการที่ใส่ไว้	EXACT
15	#15-02	PROVEN	28	มีรายการน้อยกว่า 2 กดหมุนไม่ได้ และบอกเหตุผลให้ผู้ใช้เห็น ไม่ใช่เงียบหรือคืนค่าว่าง	20	unticked	มีรายการน้อยกว่า 2 กดหมุนไม่ได้ และบอกเหตุผลให้ผู้ใช้เห็น ไม่ใช่เงียบหรือคืนค่าว่าง	EXACT
15	#15-03	PROVEN	42	เปิดเครื่องมือหลังจากเคยเล่นเกมในเว็บนี้มาก่อน เห็นรายชื่อกลุ่มเดิมรออยู่โดยไม่ต้องกรอกใหม่	21	unticked	เปิดเครื่องมือหลังจากเคยเล่นเกมในเว็บนี้มาก่อน เห็นรายชื่อกลุ่มเดิมรออยู่โดยไม่ต้องกรอกใหม่	EXACT
15	#15-04	PROVEN	52	รายชื่อที่กรอกในเครื่องมือยังอยู่หลังรีเฟรชหน้า	22	unticked	รายชื่อที่กรอกในเครื่องมือยังอยู่หลังรีเฟรชหน้า	EXACT
15	#15-05	PROVEN	65	เปิดตัวเลือกเอาผู้ที่ออกแล้วออกจากวงล้อ แล้วหมุนต่อได้จนครบทุกคนในวงโดยไม่มีชื่อซ้ำ	23	unticked	เปิดตัวเลือกเอาผู้ที่ออกแล้วออกจากวงล้อ แล้วหมุนต่อได้จนครบทุกคนในวงโดยไม่มีชื่อซ้ำ	EXACT
15	#15-06	PROVEN	75	หมุนซ้ำได้ทันทีโดยไม่ต้องตั้งค่าหรือกรอกรายชื่อใหม่	24	unticked	หมุนซ้ำได้ทันทีโดยไม่ต้องตั้งค่าหรือกรอกรายชื่อใหม่	EXACT
15	#15-07	PROVEN	87	หลังได้ผล มีทางกดต่อเข้าเกม และเมื่อถึงหน้าเกมแล้วรายชื่อวงเดิมยังอยู่ครบ ไม่ต้องพิมพ์ใหม่	25	unticked	หลังได้ผล มีทางกดต่อเข้าเกม และเมื่อถึงหน้าเกมแล้วรายชื่อวงเดิมยังอยู่ครบ ไม่ต้องพิมพ์ใหม่	EXACT
15	#15-09	UNPROVABLE	97	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้าจนเนื้อหาไม่กระโดดตอนโฆษณาโหลด และไม่มีอะไรถูกแทรกเหนือเนื้อหาหลังโหลด	27	unticked	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้าจนเนื้อหาไม่กระโดดตอนโฆษณาโหลด และไม่มีอะไรถูกแทรกเหนือเนื้อหาหลังโหลด	EXACT
15	#15-11	PROVEN	118	ผลลัพธ์อ่านได้จากตัวหนังสือเสมอ ไม่ต้องอาศัยสีหรือการเคลื่อนไหวเพื่อรู้ว่าใครโดน	29	unticked	ผลลัพธ์อ่านได้จากตัวหนังสือเสมอ ไม่ต้องอาศัยสีหรือการเคลื่อนไหวเพื่อรู้ว่าใครโดน	EXACT
15	#15-14	UNPROVABLE	135	เทสถูกพิสูจน์แบบสองทาง — ทำให้ตกก่อนแล้วยืนยันว่าตกด้วยเหตุผลที่ถูก แล้วค่อยทำให้ผ่าน	32	unticked	เทสถูกพิสูจน์แบบสองทาง — ทำให้ตกก่อนแล้วยืนยันว่าตกด้วยเหตุผลที่ถูก แล้วค่อยทำให้ผ่าน	EXACT
16	#16-01	PROVEN	12	ใส่รายชื่ออย่างน้อย 2 ชื่อ เลือกจำนวนที่จะจั่ว กดจั่ว แล้วได้ชื่อครบตามจำนวนที่ขอ และไม่มีชื่อซ้ำกันในผลนั้น	15	unticked	ใส่รายชื่ออย่างน้อย 2 ชื่อ เลือกจำนวนที่จะจั่ว กดจั่ว แล้วได้ชื่อครบตามจำนวนที่ขอ และไม่มีชื่อซ้ำกันในผลนั้น	EXACT
16	#16-02	PROVEN	22	จั่วต่อในรอบเดิม ไม่มีทางได้ชื่อที่ออกไปแล้ว	16	unticked	จั่วต่อในรอบเดิม ไม่มีทางได้ชื่อที่ออกไปแล้ว	EXACT
16	#16-03	PROVEN	34	เห็นได้ตลอดว่าเหลือใครที่ยังไม่ถูกจั่ว	17	unticked	เห็นได้ตลอดว่าเหลือใครที่ยังไม่ถูกจั่ว	EXACT
16	#16-04	PROVEN	42	ขอจั่วมากกว่าจำนวนคนที่เหลือไม่ได้ และบอกเหตุผลให้ผู้ใช้เห็น	18	unticked	ขอจั่วมากกว่าจำนวนคนที่เหลือไม่ได้ และบอกเหตุผลให้ผู้ใช้เห็น	EXACT
16	#16-05	PROVEN	50	เริ่มรอบใหม่แล้วทุกคนกลับเข้ากองครบ	19	unticked	เริ่มรอบใหม่แล้วทุกคนกลับเข้ากองครบ	EXACT
16	#16-06	PROVEN	58	มีรายการน้อยกว่า 2 กดจั่วไม่ได้ และบอกเหตุผล	20	unticked	มีรายการน้อยกว่า 2 กดจั่วไม่ได้ และบอกเหตุผล	EXACT
16	#16-07	PROVEN	68	เปิดหน้ามาแล้วเห็นรายชื่อกลุ่มเดิมรออยู่ และรายชื่อที่แก้ที่นี่มีผลกับเครื่องมือและเกมตัวอื่นด้วย	21	unticked	เปิดหน้ามาแล้วเห็นรายชื่อกลุ่มเดิมรออยู่ และรายชื่อที่แก้ที่นี่มีผลกับเครื่องมือและเกมตัวอื่นด้วย	EXACT
16	#16-08	PROVEN	81	มีทางกดต่อเข้าเกมโดยรายชื่อวงไหลต่อไปครบ	22	unticked	มีทางกดต่อเข้าเกมโดยรายชื่อวงไหลต่อไปครบ	EXACT
16	#16-10	UNPROVABLE	98	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้า และไม่มีอะไรแทรกเหนือเนื้อหาหลังโหลด	24	unticked	โฆษณาอยู่ใต้ตัวเครื่องมือ พื้นที่ถูกจองไว้ล่วงหน้า และไม่มีอะไรแทรกเหนือเนื้อหาหลังโหลด	EXACT
16	#16-11	UNDECIDED	121	เคารพการตั้งค่าลดการเคลื่อนไหว และผลลัพธ์อ่านได้จากตัวหนังสือเสมอ	25	unticked	เคารพการตั้งค่าลดการเคลื่อนไหว และผลลัพธ์อ่านได้จากตัวหนังสือเสมอ	EXACT
16	#16-13	UNPROVABLE	145	ตรรกะการจั่วรับตัวสุ่มเข้าไปได้ มีเทสที่ตรวจผลจริง และถูกพิสูจน์แบบสองทาง — ทำให้ตกก่อนแล้วค่อยทำให้ผ่าน	27	unticked	ตรรกะการจั่วรับตัวสุ่มเข้าไปได้ มีเทสที่ตรวจผลจริง และถูกพิสูจน์แบบสองทาง — ทำให้ตกก่อนแล้วค่อยทำให้ผ่าน	EXACT
17	#17-01	PROVEN	30	ใส่รายชื่ออย่างน้อย 2 ชื่อ กำหนดจำนวนทีม กดแบ่ง แล้วทุกคนถูกจัดลงทีมครบ ไม่มีใครหาย และไม่มีใครอยู่สองทีม	15	unticked	ใส่รายชื่ออย่างน้อย 2 ชื่อ กำหนดจำนวนทีม กดแบ่ง แล้วทุกคนถูกจัดลงทีมครบ ไม่มีใครหาย และไม่มีใครอยู่สองทีม	EXACT
17	#17-03	PROVEN	44	เห็นได้ว่าทีมไหนเป็นทีมที่ได้คนเกินมา	17	unticked	เห็นได้ว่าทีมไหนเป็นทีมที่ได้คนเกินมา	EXACT
17	#17-04	PROVEN	55	เปลี่ยนจำนวนทีมแล้วแบ่งใหม่ได้ทันทีโดยไม่ต้องกรอกรายชื่อใหม่	18	unticked	เปลี่ยนจำนวนทีมแล้วแบ่งใหม่ได้ทันทีโดยไม่ต้องกรอกรายชื่อใหม่	EXACT
